Date,Tech,Tech Score,Opponent,Opponent Score,W/L/T,City,State,Notes,,,,,Total points scored:
11/4/1938,Louisiana Tech,7,UL-Lafayette,27,L,Lafayette. LA,LA,,,,,,34
11/11/1938,Louisiana Tech,7,Louisiana College,0,W,"Ruston, LA",LA,,,,,,7
11/19/1938,Louisiana Tech,26,Cornell College,0,W,"Ruston, LA",LA,,,,,,26
11/22/1938,Louisiana Tech,7,Centenary,14,L,"Shreveport, LA",LA,,,,,,21
12/3/1938,Louisiana Tech,0,Southeastern Louisiana,0,T,"Ruston, LA",LA,,,,,,0
9/16/1939,Louisiana Tech,32,Arkansas-Monticello,0,W,"Ruston, LA",LA,,,,,,32
9/23/1939,Louisiana Tech,12,Illinois Wesleyan,7,W,"Ruston, LA",LA,,,,,,19
9/29/1939,Louisiana Tech,39,Jacksonville State,0,W,"Ruston, LA",LA,,,,,,39
10/7/1939,Louisiana Tech,7,WKU,20,L,"Bowling Green, KY",KY,,,,,,27
10/13/1939,Louisiana Tech,6,Birmingham-Southern,7,L,"Birmingham, AL",AL,,,,,,13
10/21/1939,Louisiana Tech,0,Northwestern State,26,L,"Shreveport, LA",LA,,,,,,26
10/28/1939,Louisiana Tech,13,Tampa,0,W,"Ruston, LA",LA,,,,,,13
11/4/1939,Louisiana Tech,6,UL-Lafayette,12,L,"Ruston, LA",LA,,,,,,18
11/11/1939,Louisiana Tech,10,Louisiana College,9,W,"Pineville, LA",LA,,,,,,19
11/18/1939,Louisiana Tech,0,UTEP,27,L,"El Paso, TX",TX,,,,,,27
12/9/1939,Louisiana Tech,0,Centenary,19,L,"Ruston, LA",LA,,,,,,19
9/21/1940,Louisiana Tech,7,LSU,39,L,"Baton Rouge, LA",LA,,,,,,46
9/26/1940,Louisiana Tech,0,Ouachita Baptist,17,L,"El Dorado, AR",AR,,,,,,17
10/4/1940,Louisiana Tech,19,UTEP,7,W,"Ruston, LA",LA,,,,,,26
10/11/1940,Louisiana Tech,7,WKU,6,W,"Ruston, LA",LA,,,,,,13
10/19/1940,Louisiana Tech,0,Northwestern State,13,L,"Shreveport, LA",LA,,,,,,13
10/25/1940,Louisiana Tech,20,Illinois Wesleyan,14,W,"Ruston, LA",LA,,,,,,34
11/1/1940,Louisiana Tech,6,UL-Lafayette,7,L,Lafayette. LA,LA,,,,,,13
11/9/1940,Louisiana Tech,15,Louisiana College,6,W,"Ruston, LA",LA,,,,,,21
11/15/1940,Louisiana Tech,26,Southeastern Louisiana,6,W,"Ruston, LA",LA,,,,,,32
11/28/1940,Louisiana Tech,6,Centenary,0,W,"Shreveport, LA",LA,,,,,,6
9/20/1941,Louisiana Tech,0,LSU,25,L,"Baton Rouge, LA",LA,,,,,,25
9/27/1941,Louisiana Tech,0,UTEP,0,T,"El Paso, TX",TX,,,,,,0
10/3/1941,Louisiana Tech,7,Southern Miss,19,L,"Ruston, LA",LA,,,,,,26
10/11/1941,Louisiana Tech,0,Auburn,34,L,"Auburn, AL",AL,,,,,,34
10/18/1941,Louisiana Tech,10,Northwestern State,0,W,"Shreveport, LA",LA,,,,,,10
10/25/1941,Louisiana Tech,21,Southeastern Louisiana,14,W,"Hammond, LA",LA,,,,,,35
10/31/1941,Louisiana Tech,12,UL-Lafayette,0,W,"Ruston, LA",LA,,,,,,12
11/8/1941,Louisiana Tech,45,Louisiana College,0,W,"Pineville, LA",LA,,,,,,45
11/15/1941,Louisiana Tech,0,Hardin-Simmons,13,L,"Ruston, LA",LA,,,,,,13
11/27/1941,Louisiana Tech,39,Centenary,7,W,"Ruston, LA",LA,,,,,,46
9/25/1942,Louisiana Tech,20,UTEP,0,W,"Ruston, LA",LA,,,,,,20
10/2/1942,Louisiana Tech,45,Waco Army,0,W,"Shreveport, LA",LA,,,,,,45
10/9/1942,Louisiana Tech,26,Marshall,0,W,"Ruston, LA",LA,,,,,,26
10/16/1942,Louisiana Tech,46,Sam Houston State,0,W,"Ruston, LA",LA,,,,,,46
10/24/1942,Louisiana Tech,6,Northwestern State,10,L,"Shreveport, LA",LA,,,,,,16
10/30/1942,Louisiana Tech,7,UL-Lafayette,12,L,Lafayette. LA,LA,,,,,,19
11/7/1942,Louisiana Tech,56,Southeastern Louisiana,14,W,"Ruston, LA",LA,,,,,,70
11/14/1942,Louisiana Tech,13,Hardin-Simmons,47,L,"Abilene, TX",TX,,,,,,60
11/21/1942,Louisiana Tech,33,Memphis,7,W,"Memphis, TN",TN,,,,,,40
9/16/1944,Louisiana Tech,0,Southwestern (Texas),26,L,"Ruston, LA",LA,,,,,,26
9/23/1944,Louisiana Tech,6,Selman AAF,13,L,"Ruston, LA",LA,,,,,,19
10/7/1944,Louisiana Tech,0,Ft. Benning (Georgia),33,L,"Ruston, LA",LA,,,,,,33
10/14/1944,Louisiana Tech,0,UL-Lafayette,15,L,"Ruston, LA",LA,,,,,,15
10/28/1944,Louisiana Tech,21,Northwestern State,7,W,"Natchitoches, LA",LA,,,,,,28
11/4/1944,Louisiana Tech,14,Arkansas-Monticello,20,L,"Ruston, LA",LA,,,,,,34
11/11/1944,Louisiana Tech,0,Northwestern State,0,T,"Ruston, LA",LA,,,,,,0
11/18/1944,Louisiana Tech,7,UL-Lafayette,0,W,Lafayette. LA,LA,,,,,,7
9/22/1945,Louisiana Tech,7,Lake Charles AAF,2,W,"Ruston, LA",LA,,,,,,9
9/29/1945,Louisiana Tech,32,Samford,6,W,"Ruston, LA",LA,,,,,,38
10/5/1945,Louisiana Tech,14,UL-Lafayette,12,W,Lafayette. LA,LA,,,,,,26
10/13/1945,Louisiana Tech,21,Ole Miss,26,L,"Oxford, MS",MS,,,,,,47
10/20/1945,Louisiana Tech,20,Southwestern (Texas),14,W,"Georgetown, TX",TX,,,,,,34
10/27/1945,Louisiana Tech,18,Northwestern State,7,W,"Ruston, LA",LA,,,,,,25
11/3/1945,Louisiana Tech,7,Barksdale Air Force,12,L,"Ruston, LA",LA,,,,,,19
11/10/1945,Louisiana Tech,7,Northwestern State,2,W,"Natchitoches, LA",LA,,,,,,9
11/17/1945,Louisiana Tech,7,UL-Lafayette,13,L,"Ruston, LA",LA,,,,,,20
11/24/1945,Louisiana Tech,0,Auburn,29,L,"Auburn, AL",AL,,,,,,29
9/21/1946,Louisiana Tech,6,Southern Miss,7,L,"Hattiesburg, MS",MS,,,,,,13
9/28/1946,Louisiana Tech,13,Howard Payne,7,W,"Brownwood, TX",TX,,,,,,20
10/5/1946,Louisiana Tech,33,Louisiana College,6,W,"Ruston, LA",LA,,,,,,39
10/12/1946,Louisiana Tech,38,Central Arkansas,0,W,"Ruston, LA",LA,,,,,,38
10/19/1946,Louisiana Tech,7,Ole Miss,6,W,"Oxford, MS",MS,,,,,,13
10/26/1946,Louisiana Tech,14,Northwestern State,7,W,"Shreveport, LA",LA,,,,,,21
11/2/1946,Louisiana Tech,34,UL-Lafayette,6,W,Lafayette. LA,LA,,,,,,40
11/8/1946,Louisiana Tech,14,Southeastern Louisiana,22,L,"Ruston, LA",LA,,,,,,36
11/15/1946,Louisiana Tech,2,Oklahoma City,6,L,"Ruston, LA",LA,,,,,,8
11/30/1946,Louisiana Tech,34,Southwestern (Texas),20,W,"Ruston, LA",LA,,,,,,54
9/27/1947,Louisiana Tech,0,Howard Payne,14,L,"Ruston, LA",LA,,,,,,14
10/4/1947,Louisiana Tech,0,Auburn,14,L,"Auburn, AL",AL,,,,,,14
10/11/1947,Louisiana Tech,6,Southern Miss,7,L,"Ruston, LA",LA,,,,,,13
10/18/1947,Louisiana Tech,30,Louisiana College,12,W,"Alexandria, LA",LA,,,,,,42
10/25/1947,Louisiana Tech,24,Northwestern State,0,W,"Shreveport, LA",LA,,,,,,24
11/1/1947,Louisiana Tech,9,UL-Lafayette,0,W,"Ruston, LA",LA,,,,,,9
11/8/1947,Louisiana Tech,20,Southeastern Louisiana,18,W,"Hammond, LA",LA,,,,,,38
11/15/1947,Louisiana Tech,13,Oklahoma City,28,L,"Oklahoma City, OK",OK,,,,,,41
11/27/1947,Louisiana Tech,52,Centenary,14,W,"Ruston, LA",LA,,,,,,66
9/18/1948,Louisiana Tech,20,Howard Payne,0,W,"Brownwood, TX",TX,,,,,,20
9/25/1948,Louisiana Tech,17,Bradley,14,W,"Ruston, LA",LA,,,,,,31
10/2/1948,Louisiana Tech,13,Auburn,13,T,"Auburn, AL",AL,,,,,,26
10/9/1948,Louisiana Tech,33,Houston,40,L,"Houston, TX",TX,,,,,,73
10/16/1948,Louisiana Tech,21,Louisiana College,7,W,"Ruston, LA",LA,,,,,,28
10/23/1948,Louisiana Tech,10,Northwestern State,7,W,"Shreveport, LA",LA,,,,,,17
10/30/1948,Louisiana Tech,24,UL-Lafayette,14,W,Lafayette. LA,LA,,,,,,38
11/6/1948,Louisiana Tech,19,Southeastern Louisiana,13,W,"Ruston, LA",LA,,,,,,32
11/13/1948,Louisiana Tech,6,Southern Miss,20,L,"Hattiesburg, MS",MS,,,,,,26
11/25/1948,Louisiana Tech,20,Memphis,14,W,"Ruston, LA",LA,,,,,,34
9/17/1949,Louisiana Tech,19,Howard Payne,22,L,"Brownwood, TX",TX,,,,,,41
9/24/1949,Louisiana Tech,18,Bradley,20,L,"Peoria, IL",IL,,,,,,38
10/1/1949,Louisiana Tech,20,Southwestern (Texas),0,W,"Ruston, LA",LA,,,,,,20
10/15/1949,Louisiana Tech,26,Louisiana College,7,W,"Pineville, LA",LA,,,,,,33
10/21/1949,Louisiana Tech,28,Northwestern State,21,W,"Shreveport, LA",LA,,,,,,49
10/29/1949,Louisiana Tech,21,UL-Lafayette,0,W,"Ruston, LA",LA,,,,,,21
11/5/1949,Louisiana Tech,20,Southeastern Louisiana,14,W,"Hammond, LA",LA,,,,,,34
11/12/1949,Louisiana Tech,34,Southern Miss,13,W,"Ruston, LA",LA,,,,,,47
11/19/1949,Louisiana Tech,45,Oklahoma City,0,W,"Ruston, LA",LA,,,,,,45
9/23/1950,Louisiana Tech,27,Howard Payne,20,W,"Ruston, LA",LA,,,,,,47
9/30/1950,Louisiana Tech,0,Texas A&M-Commerce,0,T,"Chattanooga, TN",TN,,,,,,0
10/7/1950,Louisiana Tech,21,Stephen F. Austin,6,W,"Nacogdoches, TX",TX,,,,,,27
10/14/1950,Louisiana Tech,21,Xavier (Ohio),35,L,"Cincinnati, OH",OH,,,,,,56
10/21/1950,Louisiana Tech,15,Northwestern State,7,W,"Shreveport, LA",LA,,,,,,22
10/28/1950,Louisiana Tech,21,Louisiana College,9,W,"Ruston, LA",LA,,,,,,30
11/4/1950,Louisiana Tech,13,UL-Lafayette,41,L,Lafayette. LA,LA,,,,,,54
11/11/1950,Louisiana Tech,14,Southeastern Louisiana,0,W,"Ruston, LA",LA,,,,,,14
11/18/1950,Louisiana Tech,20,Southern Miss,41,L,"Hattiesburg, MS",MS,,,,,,61
12/1/1950,Louisiana Tech,0,Memphis,6,L,"Ruston, LA",LA,,,,,,6
9/22/1951,Louisiana Tech,34,Howard Payne,27,W,"Brownwood, TX",TX,,,,,,61
9/29/1951,Louisiana Tech,7,Texas A&M-Commerce,27,L,"Ruston, LA",LA,,,,,,34
10/6/1951,Louisiana Tech,14,Memphis,26,L,"Memphis, TN",TN,,,,,,40
10/13/1951,Louisiana Tech,40,SE Oklahoma State,6,W,"Durant, OK",OK,,,,,,46
10/21/1951,Louisiana Tech,21,Northwestern State,6,W,"Shreveport, LA",LA,,,,,,27
10/27/1951,Louisiana Tech,20,Louisiana College,14,W,"Pineville, LA",LA,,,,,,34
11/3/1951,Louisiana Tech,7,UL-Lafayette,34,L,"Ruston, LA",LA,,,,,,41
11/10/1951,Louisiana Tech,7,Southeastern Louisiana,19,L,"Hammond, LA",LA,,,,,,26
11/17/1951,Louisiana Tech,7,Southern Miss,33,L,"Ruston, LA",LA,,,,,,40
9/20/1952,Louisiana Tech,6,McNeese State,0,W,"Ruston, LA",LA,,,,,,6
9/27/1952,Louisiana Tech,32,Florida State,13,W,"Tallahassee, FL",FL,,,,,,45
10/4/1952,Louisiana Tech,26,Memphis,7,W,"Ruston, LA",LA,,,,,,33
10/11/1952,Louisiana Tech,34,Central Oklahoma,6,W,"Ruston, LA",LA,,,,,,40
10/18/1952,Louisiana Tech,22,Northwestern State,0,W,"Shreveport, LA",LA,,,,,,22
10/25/1952,Louisiana Tech,35,Louisiana College,13,W,"Ruston, LA",LA,,,,,,48
11/1/1952,Louisiana Tech,19,UL-Lafayette,19,T,Lafayette. LA,LA,,,,,,38
11/8/1952,Louisiana Tech,7,Southeastern Louisiana,7,T,"Ruston, LA",LA,,,,,,14
11/15/1952,Louisiana Tech,0,Southern Miss,52,L,"Hattiesburg, MS",MS,,,,,,52
9/19/1953,Louisiana Tech,20,Louisiana College,6,W,"Pineville, LA",LA,,,,,,26
9/26/1953,Louisiana Tech,61,ULM,6,W,"Ruston, LA",LA,,,,,,67
10/3/1953,Louisiana Tech,7,Memphis,13,L,"Memphis, TN",TN,,,,,,20
10/17/1953,Louisiana Tech,32,Florida State,21,W,"Ruston, LA",LA,,,,,,53
10/23/1953,Louisiana Tech,7,Northwestern State,15,L,"Shreveport, LA",LA,,,,,,22
10/31/1953,Louisiana Tech,27,UL-Lafayette,7,W,"Ruston, LA",LA,,,,,,34
11/7/1953,Louisiana Tech,12,Southeastern Louisiana,0,W,"Ruston, LA",LA,,,,,,12
11/14/1953,Louisiana Tech,0,Southern Miss,30,L,"Ruston, LA",LA,,,,,,30
11/28/1953,Louisiana Tech,56,McNeese State,21,W,"Lake Charles, LA",LA,,,,,,77
9/18/1954,Louisiana Tech,27,Louisiana College,0,W,"Ruston, LA",LA,,,,,,27
9/25/1954,Louisiana Tech,0,Southern Miss,28,L,"Hattiesburg, MS",MS,,,,,,28
10/9/1954,Louisiana Tech,21,McNeese State,10,W,"Ruston, LA",LA,,,,,,31
10/16/1954,Louisiana Tech,13,Howard Payne,7,W,"Ruston, LA",LA,,,,,,20
10/23/1954,Louisiana Tech,13,Northwestern State,6,W,"Shreveport, LA",LA,,,,,,19
10/30/1954,Louisiana Tech,0,UL-Lafayette,25,L,Lafayette. LA,LA,,,,,,25
11/6/1954,Louisiana Tech,24,Southeastern Louisiana,35,L,"Ruston, LA",LA,,,,,,59
11/13/1954,Louisiana Tech,40,Austin College,14,W,"Ruston, LA",LA,,,,,,54
11/20/1954,Louisiana Tech,51,ULM,6,W,"Monroe, LA",LA,,,,,,57
9/17/1955,Louisiana Tech,39,Louisiana College,7,W,"Pineville, LA",LA,,,,,,46
9/24/1955,Louisiana Tech,6,Southern Miss,7,L,"Ruston, LA",LA,,,,,,13
10/1/1955,Louisiana Tech,21,Abilene Christian,7,W,"Ruston, LA",LA,,,,,,28
10/8/1955,Louisiana Tech,14,McNeese State,0,W,"Lake Charles, LA",LA,,,,,,14
10/15/1955,Louisiana Tech,26,Howard Payne,7,W,"Brownwood, TX",TX,,,,,,33
10/22/1955,Louisiana Tech,21,Northwestern State,20,W,"Shreveport, LA",LA,,,,,,41
10/29/1955,Louisiana Tech,28,UL-Lafayette,14,W,"Ruston, LA",LA,,,,,,42
11/5/1955,Louisiana Tech,21,Southeastern Louisiana,0,W,"Hammond, LA",LA,,,,,,21
11/12/1955,Louisiana Tech,40,Austin College,21,W,"Ruston, LA",LA,,,,,,61
11/19/1955,Louisiana Tech,34,ULM,14,W,"Ruston, LA",LA,,,,,,48
9/15/1956,Louisiana Tech,0,Louisiana College,0,T,"Ruston, LA",LA,,,,,,0
9/22/1956,Louisiana Tech,0,Southern Miss,14,L,"Hattiesburg, MS",MS,,,,,,14
9/29/1956,Louisiana Tech,37,Stephen F. Austin,14,W,"Ruston, LA",LA,,,,,,51
10/6/1956,Louisiana Tech,6,McNeese State,0,W,"Ruston, LA",LA,,,,,,6
10/13/1956,Louisiana Tech,13,Arkansas State,21,L,"Jonesboro, AR",AR,,,,,,34
10/20/1956,Louisiana Tech,0,Northwestern State,0,T,"Shreveport, LA",LA,,,,,,0
10/27/1956,Louisiana Tech,33,UL-Lafayette,6,W,Lafayette. LA,LA,,,,,,39
11/3/1956,Louisiana Tech,12,Southeastern Louisiana,6,W,"Ruston, LA",LA,,,,,,18
11/17/1956,Louisiana Tech,0,ULM,7,L,"Monroe, LA",LA,,,,,,7
9/21/1957,Louisiana Tech,0,Southern Miss,7,L,"Ruston, LA",LA,,,,,,7
9/28/1957,Louisiana Tech,19,Stephen F. Austin,13,W,"Nacogdoches, TX",TX,,,,,,32
10/5/1957,Louisiana Tech,6,McNeese State,13,L,"Lake Charles, LA",LA,,,,,,19
10/12/1957,Louisiana Tech,28,UL-Lafayette,13,W,"Ruston, LA",LA,,,,,,41
10/19/1957,Louisiana Tech,20,Northwestern State,13,W,"Shreveport, LA",LA,,,,,,33
10/26/1957,Louisiana Tech,25,Arkansas State,19,W,"Ruston, LA",LA,,,,,,44
11/2/1957,Louisiana Tech,24,McMurry College,26,L,"Abilene, TX",TX,,,,,,50
11/9/1957,Louisiana Tech,21,Southeastern Louisiana,14,W,"Hammond, LA",LA,,,,,,35
11/16/1957,Louisiana Tech,7,Memphis,17,L,"Ruston, LA",LA,,,,,,24
11/23/1957,Louisiana Tech,15,ULM,6,W,"Ruston, LA",LA,,,,,,21
9/20/1958,Louisiana Tech,0,Southern Miss,14,L,"Hattiesburg, MS",MS,,,,,,14
9/27/1958,Louisiana Tech,14,Arkansas State,7,W,"Jonesboro, AR",AR,,,,,,21
10/4/1958,Louisiana Tech,17,McNeese State,0,W,"Ruston, LA",LA,,,,,,17
10/11/1958,Louisiana Tech,33,UL-Lafayette,0,W,Lafayette. LA,LA,,,,,,33
10/18/1958,Louisiana Tech,14,Northwestern State,18,L,"Shreveport, LA",LA,,,,,,32
10/25/1958,Louisiana Tech,40,Arkansas-Monticello,0,W,"Ruston, LA",LA,,,,,,40
11/1/1958,Louisiana Tech,12,Memphis,26,L,"Memphis, TN",TN,,,,,,38
11/8/1958,Louisiana Tech,10,Southeastern Louisiana,6,W,"Ruston, LA",LA,,,,,,16
11/15/1958,Louisiana Tech,20,McMurry College,12,W,"Ruston, LA",LA,,,,,,32
11/22/1958,Louisiana Tech,46,ULM,21,W,"Monroe, LA",LA,,,,,,67
9/19/1959,Louisiana Tech,6,Lamar,13,L,"Beaumont, TX",TX,,,,,,19
9/26/1959,Louisiana Tech,35,Arkansas State,0,W,"Ruston, LA",LA,,,,,,35
10/3/1959,Louisiana Tech,28,McNeese State,0,W,"Lake Charles, LA",LA,,,,,,28
10/10/1959,Louisiana Tech,21,UL-Lafayette,13,W,"Ruston, LA",LA,,,,,,34
10/24/1959,Louisiana Tech,27,Northwestern State,14,W,"Shreveport, LA",LA,,,,,,41
10/31/1959,Louisiana Tech,7,Pensacola Naval Air,0,W,"Pensacola, FL",FL,,,,,,7
11/7/1959,Louisiana Tech,14,Southeastern Louisiana,0,W,"Hammond, LA",LA,,,,,,14
11/14/1959,Louisiana Tech,10,Memphis,8,W,"Ruston, LA",LA,,,,,,18
11/21/1959,Louisiana Tech,27,ULM,0,W,"Ruston, LA",LA,,,,,,27
11/28/1959,Louisiana Tech,16,Southern Miss,0,W,"Ruston, LA",LA,,,,,,16
9/17/1960,Louisiana Tech,20,Lamar,0,W,"Ruston, LA",LA,,,,,,20
9/24/1960,Louisiana Tech,3,Arkansas State,7,L,"Jonesboro, AR",AR,,,,,,10
10/1/1960,Louisiana Tech,15,McNeese State,14,W,"Ruston, LA",LA,,,,,,29
10/8/1960,Louisiana Tech,2,UL-Lafayette,6,L,Lafayette. LA,LA,,,,,,8
10/15/1960,Louisiana Tech,28,Pensacola Naval Air,19,W,"Ruston, LA",LA,,,,,,47
10/22/1960,Louisiana Tech,13,Northwestern State,7,W,"Shreveport, LA",LA,,,,,,20
10/29/1960,Louisiana Tech,23,McMurry College,7,W,"Ruston, LA",LA,,,,,,30
11/5/1960,Louisiana Tech,17,Southeastern Louisiana,14,W,"Ruston, LA",LA,,,,,,31
11/12/1960,Louisiana Tech,10,Southern Miss,7,W,"Hattiesburg, MS",MS,,,,,,17
11/19/1960,Louisiana Tech,20,ULM,15,W,"Monroe, LA",LA,,,,,,35
9/23/1961,Louisiana Tech,47,Arkansas State,8,W,"Ruston, LA",LA,,,,,,55
9/30/1961,Louisiana Tech,21,McNeese State,16,W,"Lake Charles, LA",LA,,,,,,37
10/7/1961,Louisiana Tech,12,UL-Lafayette,0,W,"Ruston, LA",LA,,,,,,12
10/14/1961,Louisiana Tech,7,UT-Arlington,8,L,"Arlington, TX",TX,,,,,,15
10/21/1961,Louisiana Tech,7,Northwestern State,19,L,"Shreveport, LA",LA,,,,,,26
10/28/1961,Louisiana Tech,21,Tennessee Tech,10,W,"Cookeville, TN",TN,,,,,,31
11/4/1961,Louisiana Tech,14,Southeastern Louisiana,34,L,"Hammond, LA",LA,,,,,,48
11/11/1961,Louisiana Tech,0,Southern Miss,7,L,"Ruston, LA",LA,,,,,,7
11/18/1961,Louisiana Tech,27,ULM,7,W,"Ruston, LA",LA,,,,,,34
9/29/1962,Louisiana Tech,14,McNeese State,6,W,"Ruston, LA",LA,,,,,,20
10/6/1962,Louisiana Tech,6,UL-Lafayette,13,L,Lafayette. LA,LA,,,,,,19
10/13/1962,Louisiana Tech,19,UT-Arlington,9,W,"Ruston, LA",LA,,,,,,28
10/20/1962,Louisiana Tech,2,Northwestern State,19,L,"Shreveport, LA",LA,,,,,,21
10/27/1962,Louisiana Tech,33,Tennessee Tech,20,W,"Ruston, LA",LA,,,,,,53
11/3/1962,Louisiana Tech,27,Southeastern Louisiana,15,W,"Ruston, LA",LA,,,,,,42
11/10/1962,Louisiana Tech,6,ULM,13,L,"Monroe, LA",LA,,,,,,19
11/17/1962,Louisiana Tech,18,Southern Miss,29,L,"Hattiesburg, MS",MS,,,,,,47
9/28/1963,Louisiana Tech,6,McNeese State,27,L,"Lake Charles, LA",LA,,,,,,33
10/5/1963,Louisiana Tech,12,Louisiana College,6,W,"Ruston, LA",LA,,,,,,18
10/12/1963,Louisiana Tech,45,UL-Lafayette,0,W,"Ruston, LA",LA,,,,,,45
10/18/1963,Louisiana Tech,27,Northwestern State,13,W,"Shreveport, LA",LA,,,,,,40
10/26/1963,Louisiana Tech,34,UT-Arlington,14,W,"Arlington, TX",TX,,,,,,48
11/2/1963,Louisiana Tech,19,Tennessee Tech,21,L,"Cookeville, TN",TN,,,,,,40
11/9/1963,Louisiana Tech,7,Southeastern Louisiana,15,L,"Hammond, LA",LA,,,,,,22
11/16/1963,Louisiana Tech,10,Southern Miss,0,W,"Ruston, LA",LA,,,,,,10
11/23/1963,Louisiana Tech,28,ULM,7,W,"Ruston, LA",LA,,,,,,35
9/19/1964,Louisiana Tech,8,Louisiana College,7,W,"Pineville, LA",LA,,,,,,15
9/26/1964,Louisiana Tech,10,McNeese State,6,W,"Ruston, LA",LA,,,,,,16
10/3/1964,Louisiana Tech,15,Texas A&M-Commerce,7,W,"Ruston, LA",LA,,,,,,22
10/10/1964,Louisiana Tech,6,UL-Lafayette,3,W,Lafayette. LA,LA,,,,,,9
10/17/1964,Louisiana Tech,19,UT-Arlington,7,W,"Ruston, LA",LA,,,,,,26
10/23/1964,Louisiana Tech,16,Northwestern State,7,W,"Shreveport, LA",LA,,,,,,23
10/31/1964,Louisiana Tech,25,Tennessee Tech,6,W,"Ruston, LA",LA,,,,,,31
11/7/1964,Louisiana Tech,28,Southeastern Louisiana,7,W,"Ruston, LA",LA,,,,,,35
11/14/1964,Louisiana Tech,7,Southern Miss,14,L,"Hattiesburg, MS",MS,,,,,,21
11/21/1964,Louisiana Tech,23,ULM,0,W,"Monroe, LA",LA,,,,,,23
9/18/1965,Louisiana Tech,0,Rice,14,L,"Houston, TX",TX,,,,,,14
10/2/1965,Louisiana Tech,14,McNeese State,20,L,"Lake Charles, LA",LA,,,,,,34
10/9/1965,Louisiana Tech,8,UL-Lafayette,16,L,"Ruston, LA",LA,,,,,,24
10/23/1965,Louisiana Tech,42,Northwestern State,14,W,"Shreveport, LA",LA,,,,,,56
10/30/1965,Louisiana Tech,20,Tennessee Tech,6,W,"Ruston, LA",LA,,,,,,26
11/6/1965,Louisiana Tech,16,Southeastern Louisiana,14,W,"Hammond, LA",LA,,,,,,30
11/13/1965,Louisiana Tech,7,Southern Miss,31,L,"Ruston, LA",LA,,,,,,38
11/20/1965,Louisiana Tech,52,ULM,7,W,"Ruston, LA",LA,,,,,,59
9/17/1966,Louisiana Tech,0,Southern Miss,14,L,"Hattiesburg, MS",MS,,,,,,14
9/24/1966,Louisiana Tech,0,Alabama,34,L,"Birmingham, AL",AL,,,,,,34
10/1/1966,Louisiana Tech,7,McNeese State,10,L,"Ruston, LA",LA,,,,,,17
10/8/1966,Louisiana Tech,13,Arkansas State,26,L,"Jonesboro, AR",AR,,,,,,39
10/15/1966,Louisiana Tech,12,UL-Lafayette,21,L,Lafayette. LA,LA,,,,,,33
10/22/1966,Louisiana Tech,7,Northwestern State,28,L,"Shreveport, LA",LA,,,,,,35
10/29/1966,Louisiana Tech,9,Tennessee Tech,21,L,"Cookeville, TN",TN,,,,,,30
11/5/1966,Louisiana Tech,13,Southeastern Louisiana,6,W,"Ruston, LA",LA,,,,,,19
11/12/1966,Louisiana Tech,16,Lamar,31,L,"Beaumont, TX",TX,,,,,,47
11/19/1966,Louisiana Tech,6,ULM,14,L,"Monroe, LA",LA,,,,,,20
9/16/1967,Louisiana Tech,34,Delta State,7,W,"Cleveland, MS",MS,,,,,,41
9/30/1967,Louisiana Tech,12,McNeese State,20,L,"Lake Charles, LA",LA,,,,,,32
10/7/1967,Louisiana Tech,14,UL-Lafayette,20,L,"Ruston, LA",LA,,,,,,34
10/14/1967,Louisiana Tech,6,Arkansas State,3,W,"Ruston, LA",LA,,,,,,9
10/21/1967,Louisiana Tech,0,Northwestern State,7,L,"Shreveport, LA",LA,,,,,,7
10/28/1967,Louisiana Tech,7,New Mexico State,48,L,"Las Cruces, NM",NM,,,,,,55
11/4/1967,Louisiana Tech,21,Southeastern Louisiana,27,L,"Hammond, LA",LA,,,,,,48
11/11/1967,Louisiana Tech,41,Lamar,31,W,"Ruston, LA",LA,,,,,,72
11/18/1967,Louisiana Tech,14,ULM,21,L,"Ruston, LA",LA,,,,,,35
